Horror Wiki Index,char index,Stripped Title,Year,character,stripped character
262,0,a nightmare on elm street,1984,"Christina ""Tina"" Gray",christina tina gray
262,1,a nightmare on elm street,1984,Rod Lane,rod lane
262,2,a nightmare on elm street,1984,Glen Lantz,glen lantz
262,3,a nightmare on elm street,1984,Marge Thompson,marge thompson
908,0,a nightmare on elm street,2010,Sukari McGill,sukari mcgill
908,1,a nightmare on elm street,2010,Carrie Bush,carrie bush
908,2,a nightmare on elm street,2010,Nancy Lumb,nancy lumb
908,3,a nightmare on elm street,2010,Elizabeth Cook,elizabeth cook
908,4,a nightmare on elm street,2010,Craig Jackson,craig jackson
908,5,a nightmare on elm street,2010,Lisa Harper,lisa harper
908,6,a nightmare on elm street,2010,Bret Tanzer,bret tanzer
908,7,a nightmare on elm street,2010,Dean Russell,dean russell
908,8,a nightmare on elm street,2010,"Kristen ""Kris"" Fowles",kristen kris fowles
908,9,a nightmare on elm street,2010,Jesse Braun,jesse braun
908,10,a nightmare on elm street,2010,Marcus Yeon,marcus yeon
908,11,a nightmare on elm street,2010,Gwen Holbrook,gwen holbrook
276,0,a nightmare on elm street 2 freddys revenge,1985,Coach Schneider,coach schneider
276,1,a nightmare on elm street 2 freddys revenge,1985,Ron Grady,ron grady
276,2,a nightmare on elm street 2 freddys revenge,1985,Party Guest 1,party guest 1
276,3,a nightmare on elm street 2 freddys revenge,1985,Party Guest 2,party guest 2
276,4,a nightmare on elm street 2 freddys revenge,1985,Party Guest 3,party guest 3
276,5,a nightmare on elm street 2 freddys revenge,1985,Party Guest 4,party guest 4
276,6,a nightmare on elm street 2 freddys revenge,1985,Party Guest 5,party guest 5
276,7,a nightmare on elm street 2 freddys revenge,1985,Party Guest 6,party guest 6
276,8,a nightmare on elm street 2 freddys revenge,1985,Party Guest 7,party guest 7
276,9,a nightmare on elm street 2 freddys revenge,1985,Kerry Hellman,kerry hellman
276,10,a nightmare on elm street 2 freddys revenge,1985,Jesse Walsh,jesse walsh
276,11,a nightmare on elm street 2 freddys revenge,1985,Lisa Webber,lisa webber
323,0,a nightmare on elm street 3 dream warriors,1987,Phillip Anderson,phillip anderson
323,1,a nightmare on elm street 3 dream warriors,1987,Jennifer Caulfield,jennifer caulfield
323,2,a nightmare on elm street 3 dream warriors,1987,Taryn White,taryn white
323,3,a nightmare on elm street 3 dream warriors,1987,Will Stanton,will stanton
323,4,a nightmare on elm street 3 dream warriors,1987,Donald Thompson,donald thompson
323,5,a nightmare on elm street 3 dream warriors,1987,Dr. Nancy Thompson,dr nancy thompson
383,0,a nightmare on elm street 4 dream master,1988,Docter Neil Gordon,docter neil gordon
383,1,a nightmare on elm street 4 dream master,1988,Roland Kincaid,roland kincaid
383,2,a nightmare on elm street 4 dream master,1988,Joey Crusel,joey crusel
383,3,a nightmare on elm street 4 dream master,1988,Kristen Parker,kristen parker
383,4,a nightmare on elm street 4 dream master,1988,Sheila Kopecky,sheila kopecky
383,5,a nightmare on elm street 4 dream master,1988,Rick Johnson,rick johnson
383,6,a nightmare on elm street 4 dream master,1988,Debbie Stevens,debbie stevens
383,7,a nightmare on elm street 4 dream master,1988,"Frederick Charles ""Freddy"" Krueger",frederick charles freddy krueger
394,0,a nightmare on elm street 5 dream child,1989,Mr Gibson,mr gibson
394,1,a nightmare on elm street 5 dream child,1989,Doris Jordan,doris jordan
394,2,a nightmare on elm street 5 dream child,1989,Manuel Jordan,manuel jordan
394,3,a nightmare on elm street 5 dream child,1989,Tobias Jordan,tobias jordan
394,4,a nightmare on elm street 5 dream child,1989,Mr. Jordan,mr jordan
394,5,a nightmare on elm street 5 dream child,1989,"Daniel ""Dan"" Jordan",daniel dan jordan
394,6,a nightmare on elm street 5 dream child,1989,Greta Gibson,greta gibson
394,7,a nightmare on elm street 5 dream child,1989,Mark Gray,mark gray
394,8,a nightmare on elm street 5 dream child,1989,Freddy Krueger,freddy krueger
394,9,a nightmare on elm street 5 dream child,1989,Demon 1,demon 1
394,10,a nightmare on elm street 5 dream child,1989,Demon 2,demon 2
394,11,a nightmare on elm street 5 dream child,1989,Demon 3,demon 3
394,12,a nightmare on elm street 5 dream child,1989,Demon 4,demon 4
394,13,a nightmare on elm street 5 dream child,1989,Demon 5,demon 5
394,14,a nightmare on elm street 5 dream child,1989,Racine Gibson,racine gibson
394,15,a nightmare on elm street 5 dream child,1989,Anne,anne
394,16,a nightmare on elm street 5 dream child,1989,Coash Ostrow,coash ostrow
394,17,a nightmare on elm street 5 dream child,1989,Dr Moore,dr moore
394,18,a nightmare on elm street 5 dream child,1989,Amanda Krueger,amanda krueger
80,0,alice sweet alice,1976,Karen Spages,karen spages
80,1,alice sweet alice,1976,Dom Spages,dom spages
80,2,alice sweet alice,1976,Kitten,kitten
80,3,alice sweet alice,1976,Fat guy,fat guy
80,4,alice sweet alice,1976,Father Tom,father tom
834,0,amusement,2008,Tryton,tryton
834,1,amusement,2008,Rob,rob
834,2,amusement,2008,Dr. Owens,dr owens
834,3,amusement,2008,Dan,dan
834,4,amusement,2008,Lisa Swan,lisa swan
834,5,amusement,2008,Shelby Leds,shelby leds
834,6,amusement,2008,The Laugh,laugh
325,0,angustia,1987,Caroline,caroline
325,1,angustia,1987,Caroline's Boyfriend,carolines boyfriend
325,2,angustia,1987,Don,don
325,3,angustia,1987,Sleepy,sleepy
325,4,angustia,1987,Laura,laura
325,5,angustia,1987,Tricket Girl,tricket girl
325,6,angustia,1987,Concession Girl,concession girl
325,7,angustia,1987,Bathroom Woman,bathroom woman
325,8,angustia,1987,Concession Girl,concession girl
325,9,angustia,1987,Tricket Girl,tricket girl
325,10,angustia,1987,Patty's Father,pattys father
325,11,angustia,1987,Patty's Mother,pattys mother
325,12,angustia,1987,Student #1,student 1
325,13,angustia,1987,Sleepy,sleepy
325,14,angustia,1987,Elderly Man,elderly man
325,15,angustia,1987,First Murder,first murder
325,16,angustia,1987,Ann,ann
325,17,angustia,1987,Salesman,salesman
325,18,angustia,1987,Hairy Woman,hairy woman
325,19,angustia,1987,The Killer,killer
325,20,angustia,1987,"Alice Pressman, Mother",alice pressman mother
325,21,angustia,1987,Linda,linda
325,22,angustia,1987,Patty,patty
1162,0,anna and apocalypse,2018,Jake,jake
1162,1,anna and apocalypse,2018,Tibbsy,tibbsy
1162,2,anna and apocalypse,2018,John,john
1162,3,anna and apocalypse,2018,Bea,bea
1162,4,anna and apocalypse,2018,Lisa,lisa
1162,5,anna and apocalypse,2018,Chris,chris
1162,6,anna and apocalypse,2018,Rector Savage,rector savage
1162,7,anna and apocalypse,2018,Tony (Anna's dad),tony annas dad
1215,0,banana splits movie,2019,Stevie,stevie
1215,1,banana splits movie,2019,Thadd,thadd
1215,2,banana splits movie,2019,Sal,sal
1215,3,banana splits movie,2019,Jonathan,jonathan
1215,4,banana splits movie,2019,Rebecca,rebecca
1215,5,banana splits movie,2019,Karl,karl
1215,6,banana splits movie,2019,Doug,doug
1215,7,banana splits movie,2019,All audience members and Taft Studios' crew,all audience members and taft studios crew
1215,8,banana splits movie,2019,Andy,andy
1215,9,banana splits movie,2019,Fleegle,fleegle
1215,10,banana splits movie,2019,Drooper,drooper
1215,11,banana splits movie,2019,Bingo,bingo
1215,12,banana splits movie,2019,Snorky,snorky
1215,13,banana splits movie,2019,Mitch Williams,mitch williams
747,0,behind mask rise of leslie vernon,2006,Mrs. Collinwood,mrs collinwood
747,1,behind mask rise of leslie vernon,2006,Jock,jock
747,2,behind mask rise of leslie vernon,2006,Cheerleader,cheerleader
747,3,behind mask rise of leslie vernon,2006,Pete,pete
747,4,behind mask rise of leslie vernon,2006,Stoner kid #1,stoner kid 1
747,5,behind mask rise of leslie vernon,2006,Stoner kid #2,stoner kid 2
747,6,behind mask rise of leslie vernon,2006,Kelly,kelly
747,7,behind mask rise of leslie vernon,2006,Todd,todd
747,8,behind mask rise of leslie vernon,2006,Lauren,lauren
747,9,behind mask rise of leslie vernon,2006,Shane,shane
1164,0,bird box,2018,Woman in orange,woman in orange
1164,1,bird box,2018,Jessica Hayes,jessica hayes
1164,2,bird box,2018,Man in car,man in car
1164,3,bird box,2018,Lydia,lydia
1164,4,bird box,2018,Five people,five people
1164,5,bird box,2018,Greg,greg
1164,6,bird box,2018,Two men,two men
1164,7,bird box,2018,Man and Woman,man and woman
1164,8,bird box,2018,Charlie,charlie
1164,9,bird box,2018,Olympia,olympia
1164,10,bird box,2018,Cheryl,cheryl
1164,11,bird box,2018,Douglas,douglas
1164,12,bird box,2018,Gary,gary
1164,13,bird box,2018,Man,man
1164,14,bird box,2018,Four psychotic seers,four psychotic seers
1164,15,bird box,2018,Psychotic seer,psychotic seer
1164,16,bird box,2018,Tom,tom
1164,17,bird box,2018,River Man,river man
1098,0,blair witch,2016,Peter Jones,peter jones
1098,1,blair witch,2016,Talia,talia
1098,2,blair witch,2016,Ashley Bennett,ashley bennett
1098,3,blair witch,2016,Lane,lane
1098,4,blair witch,2016,James Donahue,james donahue
1098,5,blair witch,2016,Lisa Arlington,lisa arlington
586,0,blair witch project,1999,Joshua 'Josh' Leonard,joshua josh leonard
586,1,blair witch project,1999,Michael 'Mike' Williams,michael mike williams
586,2,blair witch project,1999,Heather Donahue,heather donahue
709,0,boogeyman,2005,Mr.Jensen,mrjensen
709,1,boogeyman,2005,Ms.Jensen,msjensen
709,2,boogeyman,2005,Crow,crow
709,3,boogeyman,2005,Jessica,jessica
709,4,boogeyman,2005,Ome Mike,ome mike
709,5,boogeyman,2005,Boogeyman,boogeyman
793,0,boogeyman 2,2007,Mr. Porter,mr porter
793,1,boogeyman 2,2007,Mrs. Porter,mrs porter
793,2,boogeyman 2,2007,Mark,mark
793,3,boogeyman 2,2007,Paul,paul
793,4,boogeyman 2,2007,Gloria,gloria
793,5,boogeyman 2,2007,Dr.Ryan,drryan
793,6,boogeyman 2,2007,Alison,alison
793,7,boogeyman 2,2007,Tim Jensen,tim jensen
793,8,boogeyman 2,2007,Darren,darren
793,9,boogeyman 2,2007,Nicky,nicky
793,10,boogeyman 2,2007,Henry Porter,henry porter
793,11,boogeyman 2,2007,Dr.Mitchell Allen,drmitchell allen
793,12,boogeyman 2,2007,Boogeyman/Dr.Jessica Ryan,boogeyman drjessica ryan
868,0,boogeyman 3,2009,Layla The Dog,layla dog
868,1,boogeyman 3,2009,Audrey Allen,audrey allen
868,2,boogeyman 3,2009,Lukas,lukas
868,3,boogeyman 3,2009,Mark,mark
868,4,boogeyman 3,2009,Jeremy,jeremy
868,5,boogeyman 3,2009,Almost Everybody on Campus,almost everybody on campus
868,6,boogeyman 3,2009,Ben,ben
868,7,boogeyman 3,2009,Lindsay,lindsay
868,8,boogeyman 3,2009,Dr.Roger Kane,drroger kane
868,9,boogeyman 3,2009,David,david
868,10,boogeyman 3,2009,Sarah Morris,sarah morris
868,11,boogeyman 3,2009,Amy,amy
613,0,book of shadows blair witch 2,2000,Jeff Patterson,jeff patterson
613,1,book of shadows blair witch 2,2000,Peggie the Cashier,peggie cashier
613,2,book of shadows blair witch 2,2000,Erica Geerson,erica geerson
613,3,book of shadows blair witch 2,2000,Greta,greta
613,4,book of shadows blair witch 2,2000,Other tour group,other tour group
613,5,book of shadows blair witch 2,2000,Tristen Ryler,tristen ryler
613,6,book of shadows blair witch 2,2000,Stephen and Tristen's unborn baby,stephen and tristens unborn baby
1156,0,bye bye man,2017,Rick,rick
1156,1,bye bye man,2017,Jane,jane
1156,2,bye bye man,2017,Mr. Daizy,mr daizy
1156,3,bye bye man,2017,Giselle,giselle
1156,4,bye bye man,2017,Anna,anna
1156,5,bye bye man,2017,Larry,larry
1156,6,bye bye man,2017,Kim,kim
1156,7,bye bye man,2017,Unnamed Person,unnamed person
1156,8,bye bye man,2017,Unnamed Person,unnamed person
1156,9,bye bye man,2017,Mrs. Watkins,mrs watkins
1156,10,bye bye man,2017,John,john
1156,11,bye bye man,2017,Sasha,sasha
1156,12,bye bye man,2017,Elliot,elliot
1016,0,carrie,2013,"Tommy ""Thomas"" Ross",tommy thomas ross
1016,1,carrie,2013,Heather Shyres,heather shyres
1016,2,carrie,2013,"Kenny ""Kenneth"" Garson",kenny kenneth garson
1016,3,carrie,2013,Jackie Talbot,jackie talbot
1016,4,carrie,2013,"Freddy ""Frederick"" Holt",freddy frederick holt
1016,5,carrie,2013,"Nicki and Lizzy ""Elizabeth"" Wilson",nicki and lizzy elizabeth wilson
1016,6,carrie,2013,Tina Blake,tina blake
1016,7,carrie,2013,Mr. Ullmann,mr ullmann
1016,8,carrie,2013,Most of the prom goers at the prom,most of prom goers at prom
1016,9,carrie,2013,Billy Nolan,billy nolan
1016,10,carrie,2013,Christine Hargensen,christine hargensen
1016,11,carrie,2013,Margaret White,margaret white
1016,12,carrie,2013,Carrie White,carrie white
975,0,chernobyl diaries,2012,Yuri,yuri
975,1,chernobyl diaries,2012,Chris,chris
975,2,chernobyl diaries,2012,Natalie,natalie
975,3,chernobyl diaries,2012,Michael,michael
975,4,chernobyl diaries,2012,Zoe,zoe
975,5,chernobyl diaries,2012,Paul,paul
975,6,chernobyl diaries,2012,Amanda,amanda
589,0,children of corn 666 isaacs return,1999,Dr.michaels,drmichaels
589,1,children of corn 666 isaacs return,1999,Rachal,rachal
589,2,children of corn 666 isaacs return,1999,Matt,matt
589,3,children of corn 666 isaacs return,1999,Jesse,jesse
589,4,children of corn 666 isaacs return,1999,Cora,cora
589,5,children of corn 666 isaacs return,1999,Isaac,isaac
589,6,children of corn 666 isaacs return,1999,Jake,jake
483,0,children of corn ii final sacrifice,1992,Mrs Garret,mrs garret
483,1,children of corn ii final sacrifice,1992,Bobby Knite,bobby knite
483,2,children of corn ii final sacrifice,1992,Wayde McKenzie,wayde mckenzie
483,3,children of corn ii final sacrifice,1992,Mrs. Burke,mrs burke
483,4,children of corn ii final sacrifice,1992,David Simpsons,david simpsons
483,5,children of corn ii final sacrifice,1992,Dr. Richard Appleby,dr richard appleby
483,6,children of corn ii final sacrifice,1992,Mrs. West,mrs west
483,7,children of corn ii final sacrifice,1992,Sheriff William Blaine,sheriff william blaine
483,8,children of corn ii final sacrifice,1992,Reverend Hollings,reverend hollings
483,9,children of corn ii final sacrifice,1992,Mary Simpson,mary simpson
483,10,children of corn ii final sacrifice,1992,The rest of the town,rest of town
483,11,children of corn ii final sacrifice,1992,Frank Redbear,frank redbear
483,12,children of corn ii final sacrifice,1992,Cult Member,cult member
483,13,children of corn ii final sacrifice,1992,Micah,micah
483,14,children of corn ii final sacrifice,1992,Children,children
483,15,children of corn ii final sacrifice,1992,Corn,corn
483,16,children of corn ii final sacrifice,1992,adsfahn,adsfahn
536,0,children of corn iv gathering,1996,Deputy Cesar,deputy cesar
536,1,children of corn iv gathering,1996,Old Man,old man
536,2,children of corn iv gathering,1996,Sandra Atkins,sandra atkins
536,3,children of corn iv gathering,1996,Deputy Eugenio Derbez,deputy eugenio derbez
536,4,children of corn iv gathering,1996,Sheriff Biggs,sheriff biggs
536,5,children of corn iv gathering,1996,Dr. Larson,dr larson
536,6,children of corn iv gathering,1996,Margaret Rhodes,margaret rhodes
536,7,children of corn iv gathering,1996,Anne,anne
536,8,children of corn iv gathering,1996,Josiah,josiah
536,9,children of corn iv gathering,1996,Insect,insect
627,0,children of corn revelation,2001,,nan
572,0,children of corn v fields of terror,1998,Husband,husband
572,1,children of corn v fields of terror,1998,Wife,wife
572,2,children of corn v fields of terror,1998,Charlotte,charlotte
572,3,children of corn v fields of terror,1998,Lazlo,lazlo
572,4,children of corn v fields of terror,1998,Kir,kir
572,5,children of corn v fields of terror,1998,Fireman #1 and #2,fireman 1 and 2
572,6,children of corn v fields of terror,1998,Luke Enright,luke enright
572,7,children of corn v fields of terror,1998,Sheriff Skaggs,sheriff skaggs
572,8,children of corn v fields of terror,1998,Deputy Earl,deputy earl
572,9,children of corn v fields of terror,1998,Cult member,cult member
572,10,children of corn v fields of terror,1998,Cult member,cult member
572,11,children of corn v fields of terror,1998,Jacob,jacob
572,12,children of corn v fields of terror,1998,Tyrus,tyrus
572,13,children of corn v fields of terror,1998,Zane,zane
572,14,children of corn v fields of terror,1998,Cult member,cult member
572,15,children of corn v fields of terror,1998,Greg,greg
572,16,children of corn v fields of terror,1998,Cult member,cult member
572,17,children of corn v fields of terror,1998,Ezeekial,ezeekial
155,0,christmas evil,1980,Charles,charles
155,1,christmas evil,1980,Binky,binky
155,2,christmas evil,1980,Peter,peter
155,3,christmas evil,1980,Frank Stoller,frank stoller
711,0,cry wolf,2005,Becky,becky
711,1,cry wolf,2005,Mercedes,mercedes
711,2,cry wolf,2005,Randall,randall
711,3,cry wolf,2005,Lewis,lewis
711,4,cry wolf,2005,Dodger Allen,dodger allen
711,5,cry wolf,2005,Rich Walker,rich walker
716,0,descent,2005,Paul,paul
716,1,descent,2005,Jessica,jessica
716,2,descent,2005,Holly,holly
716,3,descent,2005,Male Crawler,male crawler
716,4,descent,2005,Beth,beth
716,5,descent,2005,Male Crawler,male crawler
716,6,descent,2005,Male Crawler,male crawler
716,7,descent,2005,Female Crawler,female crawler
716,8,descent,2005,Male Crawler,male crawler
716,9,descent,2005,Male Crawler,male crawler
716,10,descent,2005,Sam,sam
716,11,descent,2005,Rebecca,rebecca
716,12,descent,2005,Male Crawler,male crawler
716,13,descent,2005,Male Crawler,male crawler
716,14,descent,2005,Male Crawler,male crawler
716,15,descent,2005,Male Crawler,male crawler
958,0,divide,2011,Armed Soldier,armed soldier
958,1,divide,2011,Armed Soldier,armed soldier
958,2,divide,2011,Armed Soldier,armed soldier
958,3,divide,2011,Armed Soldier,armed soldier
958,4,divide,2011,Armed Soldier,armed soldier
958,5,divide,2011,Devlin,devlin
958,6,divide,2011,Marilyn,marilyn
958,7,divide,2011,Adrien,adrien
958,8,divide,2011,Bobby,bobby
958,9,divide,2011,Josh,josh
958,10,divide,2011,Sam,sam
958,11,divide,2011,Mickey,mickey
754,0,doodeind,2006,Tim,tim
754,1,doodeind,2006,Joline,joline
754,2,doodeind,2006,Laura,laura
754,3,doodeind,2006,Ben,ben
754,4,doodeind,2006,Sidney,sidney
754,5,doodeind,2006,Barbara,barbara
754,6,doodeind,2006,Chris,chris
1023,0,evil dead,2013,Teenager,teenager
1023,1,evil dead,2013,Olivia,olivia
1023,2,evil dead,2013,Mrs Allen,mrs allen
1023,3,evil dead,2013,Mia's GrandFather,mias grandfather
1023,4,evil dead,2013,Demon Olivia,demon olivia
1023,5,evil dead,2013,Natalie,natalie
1023,6,evil dead,2013,Eric,eric
1023,7,evil dead,2013,David Allen,david allen
1023,8,evil dead,2013,Mia Allen,mia allen
1023,9,evil dead,2013,Demon Mia Allen,demon mia allen
334,0,evil dead ii,1987,Linda,linda
334,1,evil dead ii,1987,Demon Linda,demon linda
334,2,evil dead ii,1987,Ed,ed
334,3,evil dead ii,1987,Demon Ed,demon ed
334,4,evil dead ii,1987,Bobby Jo,bobby jo
334,5,evil dead ii,1987,Jake,jake
334,6,evil dead ii,1987,Demon Henrietta,demon henrietta
334,7,evil dead ii,1987,Annie,annie
334,8,evil dead ii,1987,Winged Demon,winged demon
672,0,freddy vs jason,2003,Little Girl,little girl
672,1,freddy vs jason,2003,Heather,heather
672,2,freddy vs jason,2003,Dead Boy On Tree,dead boy on tree
672,3,freddy vs jason,2003,Dead Girl On Tree,dead girl on tree
672,4,freddy vs jason,2003,Trey Adam GordonÂ Cooper,trey adam gordon cooper
672,5,freddy vs jason,2003,Mr. Mueller,mr mueller
672,6,freddy vs jason,2003,Blake Mueller,blake mueller
672,7,freddy vs jason,2003,Gibb Smith,gibb smith
672,8,freddy vs jason,2003,Frisell,frisell
672,9,freddy vs jason,2003,Unnamed Teammate,unnamed teammate
672,10,freddy vs jason,2003,Shack,shack
672,11,freddy vs jason,2003,Raver 1/2/3,raver 1 2 3
672,12,freddy vs jason,2003,Raver 4,raver 4
672,13,freddy vs jason,2003,Raver 5,raver 5
672,14,freddy vs jason,2003,Raver 6,raver 6
672,15,freddy vs jason,2003,Bobby Davis,bobby davis
672,16,freddy vs jason,2003,Mark Davis,mark davis
672,17,freddy vs jason,2003,Security Guard,security guard
672,18,freddy vs jason,2003,Deputy Scott Stubbs,deputy scott stubbs
672,19,freddy vs jason,2003,Bill Freeburg,bill freeburg
672,20,freddy vs jason,2003,Mrs. Campbell,mrs campbell
672,21,freddy vs jason,2003,Charlie Linderman,charlie linderman
672,22,freddy vs jason,2003,Kia Waterson,kia waterson
672,23,freddy vs jason,2003,"Fredrick Charles ""Freddy"" Krueger",fredrick charles freddy krueger
463,0,freddys dead final nightmare,1991,Carlos Rodriguez,carlos rodriguez
463,1,freddys dead final nightmare,1991,Spencer Lewis,spencer lewis
463,2,freddys dead final nightmare,1991,John Doe,john doe
463,3,freddys dead final nightmare,1991,Mr. Underwood,mr underwood
463,4,freddys dead final nightmare,1991,Loretta Krueger,loretta krueger
463,5,freddys dead final nightmare,1991,"Frederick Charles ""Freddy"" Krueger",frederick charles freddy krueger
882,0,friday 13th,2009,Pamela Voorhees,pamela voorhees
882,1,friday 13th,2009,Wade,wade
882,2,friday 13th,2009,Amanda,amanda
882,3,friday 13th,2009,Mike,mike
882,4,friday 13th,2009,Richie,richie
882,5,friday 13th,2009,Donnie,donnie
882,6,friday 13th,2009,Nolan,nolan
882,7,friday 13th,2009,Chelsea,chelsea
882,8,friday 13th,2009,Chewie,chewie
882,9,friday 13th,2009,Lawrence,lawrence
882,10,friday 13th,2009,Bree,bree
882,11,friday 13th,2009,Officer bracke,officer bracke
882,12,friday 13th,2009,Trent,trent
882,13,friday 13th,2009,Jenna,jenna
164,0,friday 13th,1980,Barry,barry
164,1,friday 13th,1980,Claudette,claudette
164,2,friday 13th,1980,Annie,annie
164,3,friday 13th,1980,Ned,ned
164,4,friday 13th,1980,Jack,jack
164,5,friday 13th,1980,Marcie Stanler,marcie stanler
164,6,friday 13th,1980,Steve Christy,steve christy
164,7,friday 13th,1980,Brenda,brenda
164,8,friday 13th,1980,Bill,bill
164,9,friday 13th,1980,Mrs. Voorhees,mrs voorhees
282,0,friday 13th a new beginning,1985,Neil,neil
282,1,friday 13th a new beginning,1985,Les,les
282,2,friday 13th a new beginning,1985,Joey Burns,joey burns
282,3,friday 13th a new beginning,1985,Mrs Burns,mrs burns
282,4,friday 13th a new beginning,1985,Vinnie,vinnie
282,5,friday 13th a new beginning,1985,Pete,pete
282,6,friday 13th a new beginning,1985,Billy,billy
282,7,friday 13th a new beginning,1985,Lana,lana
282,8,friday 13th a new beginning,1985,Raymond,raymond
282,9,friday 13th a new beginning,1985,Tina,tina
282,10,friday 13th a new beginning,1985,Eddie,eddie
282,11,friday 13th a new beginning,1985,Anita,anita
282,12,friday 13th a new beginning,1985,Demon,demon
282,13,friday 13th a new beginning,1985,Junior Hubbard,junior hubbard
282,14,friday 13th a new beginning,1985,Ethel Hubbard,ethel hubbard
282,15,friday 13th a new beginning,1985,Jake,jake
282,16,friday 13th a new beginning,1985,Robin,robin
282,17,friday 13th a new beginning,1985,Violet,violet
282,18,friday 13th a new beginning,1985,Duke Johnson,duke johnson
282,19,friday 13th a new beginning,1985,Dr. Matthew Letter,dr matthew letter
282,20,friday 13th a new beginning,1985,George,george
282,21,friday 13th a new beginning,1985,Roy Burns,roy burns
282,22,friday 13th a new beginning,1985,Pam Roberts,pam roberts
282,23,friday 13th a new beginning,1985,Pam Roberts,pam roberts
282,24,friday 13th a new beginning,1985,Mrs Roberts,mrs roberts
282,25,friday 13th a new beginning,1985,Mr Roberts,mr roberts
282,26,friday 13th a new beginning,1985,Reggie Winter,reggie winter
282,27,friday 13th a new beginning,1985,Mrs Winter,mrs winter
267,0,friday 13th final chapter,1984,Coroner Axel Burns,coroner axel burns
267,1,friday 13th final chapter,1984,"Nurse Roberta ""Robbie"" Morgan",nurse roberta robbie morgan
267,2,friday 13th final chapter,1984,Unnamed Female Hitchhiker,unnamed female hitchhiker
267,3,friday 13th final chapter,1984,Samantha Lane,samantha lane
267,4,friday 13th final chapter,1984,Paul Guthrie,paul guthrie
267,5,friday 13th final chapter,1984,"Terri ""Teresa"" Moore",terri teresa moore
267,6,friday 13th final chapter,1984,Mrs. Tracy Jarvis,mrs tracy jarvis
267,7,friday 13th final chapter,1984,"James ""Jimmy"" Mortimer",james jimmy mortimer
267,8,friday 13th final chapter,1984,Tina Moore,tina moore
267,9,friday 13th final chapter,1984,Ted Cooper,ted cooper
267,10,friday 13th final chapter,1984,"Douglas ""Doug"" Bell",douglas doug bell
267,11,friday 13th final chapter,1984,Sara,sara
267,12,friday 13th final chapter,1984,"Rob ""Robert"" Dier",rob robert dier
267,13,friday 13th final chapter,1984,Jason Voorhees,jason voorhees
192,0,friday 13th part 2,1981,Alice Hardy,alice hardy
192,1,friday 13th part 2,1981,Crazy Ralph,crazy ralph
192,2,friday 13th part 2,1981,Deputy Winslow,deputy winslow
192,3,friday 13th part 2,1981,Scott,scott
192,4,friday 13th part 2,1981,Terry,terry
192,5,friday 13th part 2,1981,Mark,mark
192,6,friday 13th part 2,1981,"Jeff, Sandra Dier",jeff sandra dier
192,7,friday 13th part 2,1981,Vickie,vickie
192,8,friday 13th part 2,1981,Paul Holt,paul holt
226,0,friday 13th part iii,1982,Harold Hockett,harold hockett
226,1,friday 13th part iii,1982,Edna Hockett,edna hockett
